file,problem,p,m,q,na,nb,nc,lb,ub
extfield/cert_extfield_q03_n05.pb.txt,extfield_q03_n05,3,1,3,5,5,5,10,-
extfield/cert_extfield_q03_n06.pb.txt,extfield_q03_n06,3,1,3,6,6,6,12,-
extfield/cert_extfield_q03_n07.pb.txt,extfield_q03_n07,3,1,3,7,7,7,15,-
extfield/cert_extfield_q03_n08.pb.txt,extfield_q03_n08,3,1,3,8,8,8,17,-
extfield/cert_extfield_q03_n09.pb.txt.gz,extfield_q03_n09,3,1,3,9,9,9,19,-
extfield/cert_extfield_q04_n01.pb.txt,extfield_q04_n01,2,2,4,1,1,1,1,-
extfield/cert_extfield_q04_n02.pb.txt,extfield_q04_n02,2,2,4,2,2,2,3,-
extfield/cert_extfield_q04_n03.pb.txt,extfield_q04_n03,2,2,4,3,3,3,5,-
extfield/cert_extfield_q04_n04.pb.txt,extfield_q04_n04,2,2,4,4,4,4,7,-
extfield/cert_extfield_q04_n05.pb.txt,extfield_q04_n05,2,2,4,5,5,5,10,-
extfield/cert_extfield_q04_n06.pb.txt,extfield_q04_n06,2,2,4,6,6,6,12,-
extfield/cert_extfield_q04_n07.pb.txt,extfield_q04_n07,2,2,4,7,7,7,14,-
extfield/cert_extfield_q04_n08.pb.txt,extfield_q04_n08,2,2,4,8,8,8,16,-
extfield/cert_extfield_q05_n01.pb.txt,extfield_q05_n01,5,1,5,1,1,1,1,-
extfield/cert_extfield_q05_n02.pb.txt,extfield_q05_n02,5,1,5,2,2,2,3,-
extfield/cert_extfield_q05_n03.pb.txt,extfield_q05_n03,5,1,5,3,3,3,5,-
